date,unemployment,unemployment_yoy_change
2002-05-01,5.8,34.883720930232556
2002-06-01,5.8,28.888888888888875
2002-07-01,5.8,26.086956521739136
2002-08-01,5.7,16.326530612244895
2002-09-01,5.7,14.000000000000012
2002-10-01,5.7,7.547169811320753
2002-11-01,5.9,7.272727272727275
2002-12-01,6.0,5.263157894736836
2003-01-01,5.8,1.754385964912264
2003-02-01,5.9,3.5087719298245723
2003-03-01,5.9,3.5087719298245723
2003-04-01,6.0,1.6949152542372836
2003-05-01,6.1,5.1724137931034475
2003-06-01,6.3,8.62068965517242
2003-07-01,6.2,6.896551724137945
2003-08-01,6.1,7.017543859649122
2003-09-01,6.1,7.017543859649122
2003-10-01,6.0,5.263157894736836
2003-11-01,5.8,-1.6949152542372947
2003-12-01,5.7,-4.999999999999993
2004-01-01,5.7,-1.724137931034475
2004-02-01,5.6,-5.084745762711873
2004-03-01,5.8,-1.6949152542372947
2004-04-01,5.6,-6.666666666666677
2004-05-01,5.6,-8.196721311475407
2004-06-01,5.6,-11.111111111111116
2004-07-01,5.5,-11.290322580645162
2004-08-01,5.4,-11.475409836065564
2004-09-01,5.4,-11.475409836065564
2004-10-01,5.5,-8.333333333333337
2004-11-01,5.4,-6.896551724137923
2004-12-01,5.4,-5.263157894736836
2005-01-01,5.3,-7.017543859649134
2005-02-01,5.4,-3.5714285714285587
2005-03-01,5.2,-10.344827586206895
2005-04-01,5.2,-7.142857142857128
2005-05-01,5.1,-8.92857142857143
2005-06-01,5.0,-10.71428571428571
2005-07-01,5.0,-9.090909090909093
2005-08-01,4.9,-9.259259259259256
2005-09-01,5.0,-7.407407407407418
2005-10-01,5.0,-9.090909090909093
2005-11-01,5.0,-7.407407407407418
2005-12-01,4.9,-9.259259259259256
2006-01-01,4.7,-11.32075471698113
2006-02-01,4.8,-11.111111111111116
2006-03-01,4.7,-9.615384615384615
2006-04-01,4.7,-9.615384615384615
2006-05-01,4.6,-9.80392156862745
2006-06-01,4.6,-8.000000000000007
2006-07-01,4.7,-5.999999999999995
2006-08-01,4.7,-4.081632653061229
2006-09-01,4.5,-9.999999999999998
2006-10-01,4.4,-11.99999999999999
2006-11-01,4.5,-9.999999999999998
2006-12-01,4.4,-10.204081632653061
2007-01-01,4.6,-2.1276595744680993
2007-02-01,4.5,-6.25
2007-03-01,4.4,-6.382978723404253
2007-04-01,4.5,-4.255319148936176
2007-05-01,4.4,-4.347826086956507
2007-06-01,4.6,0.0
2007-07-01,4.7,0.0
