date,ppi,ppi_yoy_change
1964-10-01,31.7,0.31645569620253333
1964-11-01,31.7,0.0
1964-12-01,31.7,0.31645569620253333
1965-01-01,31.8,0.0
1965-02-01,31.9,0.9493670886075778
1965-03-01,31.9,0.9493670886075778
1965-04-01,32.0,1.2658227848101111
1965-05-01,32.1,1.9047619047619202
1965-06-01,32.4,2.857142857142847
1965-07-01,32.4,2.5316455696202445
1965-08-01,32.4,2.5316455696202445
1965-09-01,32.4,2.208201892744488
1965-10-01,32.5,2.5236593059936974
1965-11-01,32.6,2.8391167192429068
1965-12-01,32.8,3.4700315457413256
1966-01-01,32.9,3.459119496855334
1966-02-01,33.2,4.0752351097178785
1966-03-01,33.2,4.0752351097178785
1966-04-01,33.2,3.750000000000009
1966-05-01,33.2,3.4267912772585785
1966-06-01,33.3,2.777777777777768
1966-07-01,33.5,3.395061728395077
1966-08-01,33.6,3.70370370370372
1966-09-01,33.6,3.70370370370372
1966-10-01,33.4,2.7692307692307683
1966-11-01,33.3,2.1472392638036686
1966-12-01,33.3,1.5243902439024293
1967-01-01,33.4,1.5197568389057725
1967-02-01,33.4,0.6024096385542022
1967-03-01,33.3,0.30120481927709
1967-04-01,33.1,-0.3012048192771122
1967-05-01,33.3,0.30120481927709
1967-06-01,33.5,0.6006006006006093
1967-07-01,33.5,0.0
1967-08-01,33.4,-0.5952380952381042
1967-09-01,33.4,-0.5952380952381042
1967-10-01,33.4,0.0
1967-11-01,33.4,0.30030030030030463
1967-12-01,33.7,1.2012012012012185
1968-01-01,33.8,1.197604790419149
1968-02-01,34.0,1.7964071856287456
1968-03-01,34.1,2.402402402402415
1968-04-01,34.1,3.0211480362537735
1968-05-01,34.2,2.7027027027027195
1968-06-01,34.2,2.0895522388059806
1968-07-01,34.3,2.3880597014925398
1968-08-01,34.2,2.3952095808383422
1968-09-01,34.4,2.9940119760478945
1968-10-01,34.4,2.9940119760478945
1968-11-01,34.5,3.293413173652704
1968-12-01,34.6,2.6706231454005858
1969-01-01,34.8,2.9585798816567976
1969-02-01,35.0,2.941176470588225
1969-03-01,35.2,3.2258064516129004
